state,state_string,value,mo,sc,ua,pd,ad
,Unconscious,-0.454256221639002,,,,,
11111,11111,1,1,1,1,1,1
11112,11112,0.90130003574061,1,1,1,1,2
11113,11113,0.84903857255315,1,1,1,1,3
11114,11114,0.616691815608498,1,1,1,1,4
11115,11115,0.523614263942359,1,1,1,1,5
11121,11121,0.895241790302918,1,1,1,2,1
11122,11122,0.834222322266803,1,1,1,2,2
11123,11123,0.781960859079343,1,1,1,2,3
11124,11124,0.549614102134691,1,1,1,2,4
11125,11125,0.456536550468552,1,1,1,2,5
11131,11131,0.837791609791092,1,1,1,3,1
11132,11132,0.776772141754977,1,1,1,3,2
11133,11133,0.724510678567517,1,1,1,3,3
11134,11134,0.492163921622864,1,1,1,3,4
11135,11135,0.399086369956725,1,1,1,3,5
11141,11141,0.582376580940341,1,1,1,4,1
11142,11142,0.521357112904227,1,1,1,4,2
11143,11143,0.469095649716766,1,1,1,4,3
11144,11144,0.236748892772114,1,1,1,4,4
11145,11145,0.143671341105975,1,1,1,4,5
11151,11151,0.480057935064741,1,1,1,5,1
11152,11152,0.419038467028626,1,1,1,5,2
11153,11153,0.366777003841165,1,1,1,5,3
11154,11154,0.134430246896513,1,1,1,5,4
11155,11155,0.0413526952303742,1,1,1,5,5
11211,11211,0.93717896533775,1,1,2,1,1
11212,11212,0.876159497301636,1,1,2,1,2
11213,11213,0.823898034114175,1,1,2,1,3
11214,11214,0.591551277169523,1,1,2,1,4
11215,11215,0.498473725503384,1,1,2,1,5
11221,11221,0.870101251863943,1,1,2,2,1
11222,11222,0.809081783827829,1,1,2,2,2
11223,11223,0.756820320640368,1,1,2,2,3
11224,11224,0.524473563695716,1,1,2,2,4
11225,11225,0.431396012029577,1,1,2,2,5
11231,11231,0.812651071352117,1,1,2,3,1
11232,11232,0.751631603316003,1,1,2,3,2
11233,11233,0.699370140128542,1,1,2,3,3
11234,11234,0.46702338318389,1,1,2,3,4
11235,11235,0.373945831517751,1,1,2,3,5
11241,11241,0.557236042501367,1,1,2,4,1
11242,11242,0.496216574465252,1,1,2,4,2
11243,11243,0.443955111277791,1,1,2,4,3
11244,11244,0.211608354333139,1,1,2,4,4
11245,11245,0.118530802667,1,1,2,4,5
11251,11251,0.454917396625766,1,1,2,5,1
11252,11252,0.393897928589651,1,1,2,5,2
11253,11253,0.341636465402191,1,1,2,5,3
11254,11254,0.109289708457538,1,1,2,5,4
11255,11255,0.0162121567913995,1,1,2,5,5
11311,11311,0.915646799187698,1,1,3,1,1
11312,11312,0.854627331151584,1,1,3,1,2
11313,11313,0.802365867964123,1,1,3,1,3
11314,11314,0.570019111019471,1,1,3,1,4
11315,11315,0.476941559353332,1,1,3,1,5
11321,11321,0.848569085713891,1,1,3,2,1
11322,11322,0.787549617677777,1,1,3,2,2
11323,11323,0.735288154490316,1,1,3,2,3
11324,11324,0.502941397545664,1,1,3,2,4
11325,11325,0.409863845879525,1,1,3,2,5
11331,11331,0.791118905202065,1,1,3,3,1
11332,11332,0.730099437165951,1,1,3,3,2
11333,11333,0.67783797397849,1,1,3,3,3
11334,11334,0.445491217033838,1,1,3,3,4
11335,11335,0.352413665367699,1,1,3,3,5
11341,11341,0.535703876351314,1,1,3,4,1
11342,11342,0.4746844083152,1,1,3,4,2
11343,11343,0.422422945127739,1,1,3,4,3
11344,11344,0.190076188183087,1,1,3,4,4
11345,11345,0.0969986365169482,1,1,3,4,5
11351,11351,0.433385230475714,1,1,3,5,1
11352,11352,0.372365762439599,1,1,3,5,2
11353,11353,0.320104299252139,1,1,3,5,3
11354,11354,0.0877575423074866,1,1,3,5,4
11355,11355,-0.0053200093586524,1,1,3,5,5
11411,11411,0.819917964405315,1,1,4,1,1
11412,11412,0.758898496369201,1,1,4,1,2
11413,11413,0.70663703318174,1,1,4,1,3
11414,11414,0.474290276237088,1,1,4,1,4
11415,11415,0.381212724570949,1,1,4,1,5
11421,11421,0.752840250931508,1,1,4,2,1
11422,11422,0.691820782895394,1,1,4,2,2
11423,11423,0.639559319707933,1,1,4,2,3
11424,11424,0.407212562763281,1,1,4,2,4
11425,11425,0.314135011097142,1,1,4,2,5
